	soma_joinid	citation	collection_id	collection_name	collection_doi	collection_doi_label	dataset_id	dataset_version_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count	doi	abstract	species	tissue	disease
9	9	Publication: https://doi.org/10.1126/sciimmunol.abe6291 Dataset Version: https://datasets.cellxgene.cziscience.com/3fa969b4-25e8-4e0b-b2ec-86cd9ddd2ccb.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/3a2af25b-2338-4266-aad3-aa8d07473f50	3a2af25b-2338-4266-aad3-aa8d07473f50	Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics	10.1126/sciimmunol.abe6291	King et al. (2021) Sci. Immunol.	00ff600e-6e2e-4d76-846f-0eec4f0ae417	3fa969b4-25e8-4e0b-b2ec-86cd9ddd2ccb	Human tonsil nonlymphoid cells scRNA	00ff600e-6e2e-4d76-846f-0eec4f0ae417.h5ad	363	https://doi.org/10.1126/sciimmunol.abe6291	Integrated single-cell transcriptomic and BCR analyses reveal how antibody class switching influences human B cell fate and function.	human	blood	healthy
23	23	Publication: https://doi.org/10.1038/s41467-022-29450-x Dataset Version: https://datasets.cellxgene.cziscience.com/f223d2b0-d878-443b-8bef-f182fe1f22d1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bf325905-5e8e-42e3-933d-9a9053e9af80	bf325905-5e8e-42e3-933d-9a9053e9af80	Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses	10.1038/s41467-022-29450-x	Rodríguez-Ubreva et al. (2022) Nat Commun	a5d95a42-0137-496f-8a60-101e17f263c8	f223d2b0-d878-443b-8bef-f182fe1f22d1	Steady-state B cells - scRNA-seq	a5d95a42-0137-496f-8a60-101e17f263c8.h5ad	1324	https://doi.org/10.1038/s41467-022-29450-x	Abstract Common variable immunodeficiency (CVID), the most prevalent symptomatic primary immunodeficiency, displays impaired terminal B-cell differentiation and defective antibody responses. Incomplete genetic penetrance and ample phenotypic expressivity in CVID suggest the participation of additional pathogenic mechanisms. Monozygotic (MZ) twins discordant for CVID are uniquely valuable for studying the contribution of epigenetics to the disease. Here, we generate a single-cell epigenomics and transcriptomics census of naive-to-memory B cell differentiation in a CVID-discordant MZ twin pair. Our analysis identifies DNA methylation, chromatin accessibility and transcriptional defects in memory B-cells mirroring defective cell-cell communication upon activation. These findings are validated in a cohort of CVID patients and healthy donors. Our findings provide a comprehensive multi-omics map of alterations in naive-to-memory B-cell transition in CVID and indicate links between the epigenome and immune cell cross-talk. Our resource, publicly available at the Human Cell Atlas, gives insight into future diagnosis and treatments of CVID patients.	human	blood	immunodeficiency
25	25	Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/8b1e0d38-c48a-4e60-84c4-744a1d8ad2a1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d	93eebe82-d8c3-41bc-a906-63b5b5f24a9d	Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states	10.1038/s41590-021-01059-0	Triana et al. (2021) Nat Immunol	d3566d6a-a455-4a15-980f-45eb29114cab	8b1e0d38-c48a-4e60-84c4-744a1d8ad2a1	blood and bone marrow from a healthy young donor	d3566d6a-a455-4a15-980f-45eb29114cab.h5ad	15502	https://doi.org/10.1038/s41590-021-01059-0	Abstract Single-cell genomics technology has transformed our understanding of complex cellular systems. However, excessive cost and a lack of strategies for the purification of newly identified cell types impede their functional characterization and large-scale profiling. Here, we have generated high-content single-cell proteo-genomic reference maps of human blood and bone marrow that quantitatively link the expression of up to 197 surface markers to cellular identities and biological processes across all main hematopoietic cell types in healthy aging and leukemia. These reference maps enable the automatic design of cost-effective high-throughput cytometry schemes that outperform state-of-the-art approaches, accurately reflect complex topologies of cellular systems and permit the purification of precisely defined cell states. The systematic integration of cytometry and proteo-genomic data enables the functional capacities of precisely mapped cell states to be measured at the single-cell level. Our study serves as an accessible resource and paves the way for a data-driven era in cytometry.	human	blood	cancer
32	32	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/3e706d81-4387-4405-9401-795671be1d8f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	Orozco et al. (2020) Cell Reports	de17ac25-550a-4018-be75-bbb485a0636e	3e706d81-4387-4405-9401-795671be1d8f	Myeloid cells of human eye	de17ac25-550a-4018-be75-bbb485a0636e.h5ad	395	https://doi.org/10.1016/j.celrep.2019.12.082		human	eye	healthy
120	120	Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/60db04d8-1866-4193-b586-611400abf8c5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	Nowicki-Osuch et al. (2023) Cancer Discovery	94423ec1-21f8-40e8-b5c9-c3ea82350ca4	60db04d8-1866-4193-b586-611400abf8c5	UMAP of Myeloid cells	94423ec1-21f8-40e8-b5c9-c3ea82350ca4.h5ad	3282	https://doi.org/10.1158/2159-8290.cd-22-0824	Abstract Intestinal metaplasia in the esophagus (Barrett's esophagus IM, or BE-IM) and stomach (GIM) are considered precursors for esophageal and gastric adenocarcinoma, respectively. We hypothesize that BE-IM and GIM follow parallel developmental trajectories in response to differing inflammatory insults. Here, we construct a single-cell RNA-sequencing atlas, supported by protein expression studies, of the entire gastrointestinal tract spanning physiologically normal and pathologic states including gastric metaplasia in the esophagus (E-GM), BE-IM, atrophic gastritis, and GIM. We demonstrate that BE-IM and GIM share molecular features, and individual cells simultaneously possess transcriptional properties of gastric and intestinal epithelia, suggesting phenotypic mosaicism. Transcriptionally E-GM resembles atrophic gastritis; genetically, it is clonal and has a lower mutational burden than BE-IM. Finally, we show that GIM and BE-IM acquire a protumorigenic, activated fibroblast microenvironment. These findings suggest that BE-IM and GIM can be considered molecularly similar entities in adjacent organs, opening the path for shared detection and treatment strategies. Significance: Our data capture the gradual molecular and phenotypic transition from a gastric to intestinal phenotype (IM) in the esophagus and stomach. Because BE-IM and GIM can predispose to cancer, this new understanding of a common developmental trajectory could pave the way for a more unified approach to detection and treatment. See related commentary by Stachler, p. 1291. This article is highlighted in the In This Issue feature, p. 1275	human	intestine	cancer
184	184	Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/8651e63c-0f98-4a87-bdbd-2da41bdf6de5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc	b9fc3d70-5a72-4479-a046-c2cc1ab19efc	A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses	10.1016/j.isci.2021.103115	Jin et al. (2021) iScience	e763ed0d-0e5a-4b8e-9514-6da3d9e47956	8651e63c-0f98-4a87-bdbd-2da41bdf6de5	Platelet sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets	e763ed0d-0e5a-4b8e-9514-6da3d9e47956.h5ad	7274	https://doi.org/10.1016/j.isci.2021.103115		human	blood	covid19
192	192	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/3ccc81ed-a468-4a4b-ab33-4cf80c9d7748.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	Orozco et al. (2020) Cell Reports	d95ab381-2b7c-4885-b168-0097ed4e397f	3ccc81ed-a468-4a4b-ab33-4cf80c9d7748	Cone cells of human eye	d95ab381-2b7c-4885-b168-0097ed4e397f.h5ad	1378	https://doi.org/10.1016/j.celrep.2019.12.082		human	eye	healthy
195	195	Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/a48b7e8a-9db3-45f1-9729-c87738c0082f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d	93eebe82-d8c3-41bc-a906-63b5b5f24a9d	Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states	10.1038/s41590-021-01059-0	Triana et al. (2021) Nat Immunol	b3a5a10f-b1cb-4e8e-abce-bf345448625b	a48b7e8a-9db3-45f1-9729-c87738c0082f	15 leukemic bone marrow donors	b3a5a10f-b1cb-4e8e-abce-bf345448625b.h5ad	31586	https://doi.org/10.1038/s41590-021-01059-0	Abstract Single-cell genomics technology has transformed our understanding of complex cellular systems. However, excessive cost and a lack of strategies for the purification of newly identified cell types impede their functional characterization and large-scale profiling. Here, we have generated high-content single-cell proteo-genomic reference maps of human blood and bone marrow that quantitatively link the expression of up to 197 surface markers to cellular identities and biological processes across all main hematopoietic cell types in healthy aging and leukemia. These reference maps enable the automatic design of cost-effective high-throughput cytometry schemes that outperform state-of-the-art approaches, accurately reflect complex topologies of cellular systems and permit the purification of precisely defined cell states. The systematic integration of cytometry and proteo-genomic data enables the functional capacities of precisely mapped cell states to be measured at the single-cell level. Our study serves as an accessible resource and paves the way for a data-driven era in cytometry.	human	blood	cancer
206	206	Publication: https://doi.org/10.1016/j.celrep.2019.12.082 Dataset Version: https://datasets.cellxgene.cziscience.com/43b4f17f-ed8f-4715-81f4-a6e4ded3c5b9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	Orozco et al. (2020) Cell Reports	9cfee1e6-b24f-433d-a269-f01841655d6a	43b4f17f-ed8f-4715-81f4-a6e4ded3c5b9	Retinal pigment epithelial cells of human eye	9cfee1e6-b24f-433d-a269-f01841655d6a.h5ad	1635	https://doi.org/10.1016/j.celrep.2019.12.082		human	eye	healthy
208	208	Publication: https://doi.org/10.1016/j.cell.2020.12.016 Dataset Version: https://datasets.cellxgene.cziscience.com/de10d87c-30c2-4bd1-b0f6-a8aca1c09cfc.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e	60358420-6055-411d-ba4f-e8ac80682a2e	Spatiotemporal analysis of human intestinal development at single-cell resolution	10.1016/j.cell.2020.12.016	Fawkner-Corbett et al. (2021) Cell	4269074c-f2c1-4d88-b2c3-0946f59d5449	de10d87c-30c2-4bd1-b0f6-a8aca1c09cfc	Spatiotemporal analysis of human intestinal development at single-cell resolution: Immune	4269074c-f2c1-4d88-b2c3-0946f59d5449.h5ad	2199	https://doi.org/10.1016/j.cell.2020.12.016		human	intestine	healthy
