dataset_id	display_name	dataset_order	label_space	label_contract_sha256	method	n_runs	n_truth_cells	annotation_outcome	accuracy	accuracy_sd	macro_precision	macro_precision_sd	balanced_accuracy	balanced_accuracy_sd	macro_f1	macro_f1_sd	prediction_coverage
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	tissueagent	3	228635	not_flagged	0.7790072969288749	0.014966890657541093	0.558201393107085	0.028521844190532764	0.69169647848048	0.03910804800057065	0.5521434136377553	0.039428622334903726	0.9242941806809982
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	gptcelltype	1	228635	not_flagged	0.8734314518774465		0.3105690187065285		0.33073318563298		0.3198197168995995		0.9870710958514664
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	celltypist	1	228635	not_flagged	0.6092986638091281		0.3061716879016876		0.3149994567780771		0.2396533091631066		1.0
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	biomni	1	228635	all_generic_labels	0.0		0.0		0.0		0.0		0.0
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	spatialagent	1	228635	not_flagged	0.9045071839394668		0.4400361212175045		0.4270957636393295		0.4282629404374645		1.0
bcl	BCL	1	primary	6153f62a39bdb7858e28187b10fb5b820eddc8a383bf83c12fc90211ec306025	tissueagent	3	49566	not_flagged	0.3919958573753514	0.06552948972739188	0.3925022577277426	0.1377591989724559	0.49865833681331573	0.04170247887511619	0.3877234579306467	0.09055016325027067	0.8231045474720574
bcl	BCL	1	primary	6153f62a39bdb7858e28187b10fb5b820eddc8a383bf83c12fc90211ec306025	gptcelltype	1	49566	not_flagged	0.2775087761772182		0.3182659808347732		0.4074902624113345		0.2878187663086521		0.7045555421054756
bcl	BCL	1	primary	6153f62a39bdb7858e28187b10fb5b820eddc8a383bf83c12fc90211ec306025	celltypist	1	49566	not_flagged	0.5232619134083848		0.4597965299396767		0.540890687340145		0.4440918570694207		0.9964491788726144
bcl	BCL	1	primary	6153f62a39bdb7858e28187b10fb5b820eddc8a383bf83c12fc90211ec306025	biomni	1	49566	not_flagged	0.4750635516281322		0.5387830146287302		0.6443912348345301		0.5341949208457188		0.9519832143001252
bcl	BCL	1	primary	6153f62a39bdb7858e28187b10fb5b820eddc8a383bf83c12fc90211ec306025	spatialagent	1	49566	not_flagged	0.2192228543759835		0.3674139205045347		0.4409333778421015		0.3274925607713791		0.5821732639309204
han_mouse_brain_stereoseq	Mouse brain Stereo-seq	2	cell_ontology_shared	3569ec3fdb88169b1c484089fe7756ab9c16d849abfb41e2f28b3f1ef1c61f21	tissueagent	3	478740	not_flagged	0.3701696118978986	0.0	0.316945813159861	0.0	0.1420419962205545	0.0	0.161756400088389	0.0	0.9027676818314744
han_mouse_brain_stereoseq	Mouse brain Stereo-seq	2	cell_ontology_shared	3569ec3fdb88169b1c484089fe7756ab9c16d849abfb41e2f28b3f1ef1c61f21	gptcelltype	1	478740	not_flagged	0.5584617955466433		0.1573240789565289		0.1561648373069823		0.145188888906923		1.0
han_mouse_brain_stereoseq	Mouse brain Stereo-seq	2	cell_ontology_shared	3569ec3fdb88169b1c484089fe7756ab9c16d849abfb41e2f28b3f1ef1c61f21	celltypist	1	478740	not_flagged	0.2998099177006308		0.2604854642148114		0.1141861694615298		0.1281141206825364		1.0
han_mouse_brain_stereoseq	Mouse brain Stereo-seq	2	cell_ontology_shared	3569ec3fdb88169b1c484089fe7756ab9c16d849abfb41e2f28b3f1ef1c61f21	biomni	1	478740	not_flagged	0.1224422442244224		0.0718086933615075		0.1008513042142118		0.0390776168110346		0.8413606550528471
han_mouse_brain_stereoseq	Mouse brain Stereo-seq	2	cell_ontology_shared	3569ec3fdb88169b1c484089fe7756ab9c16d849abfb41e2f28b3f1ef1c61f21	spatialagent	1	478740	not_flagged	0.4666186238877052		0.052506917433625		0.0775905186247254		0.0626305802557606		0.740566904791745
