dataset_id	display_name	dataset_order	label_space	label_contract_sha256	n_truth_cells	n_excluded_truth_cells	n_prediction_rows	n_assigned	n_unassigned	backend_prediction_row_coverage	scored_raw_prediction_nonmissing_coverage	ontology_mapped_prediction_coverage	prediction_coverage	accuracy	balanced_accuracy	macro_precision	macro_f1	n_unmapped_raw_labels	method	replicate	dataset	target_labels_json	excluded_ground_truth_raw_labels_json	annotation_outcome
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	228635.0	0.0	228635.0	210774.0	17861.0	1.0	1.0	0.9218798521661165	0.9218798521661165	0.787648435278938	0.7142755205210902	0.5746684875282737	0.5749075393565881	0.0	tissueagent	1				
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	228635.0	0.0	228635.0	210774.0	17861.0	1.0	1.0	0.9218798521661165	0.9218798521661165	0.787648435278938	0.7142755205210902	0.5746684875282737	0.5749075393565881	0.0	tissueagent	2				
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	228635.0	0.0	228635.0	212430.0	16205.0	1.0	1.0	0.9291228377107617	0.9291228377107617	0.7617250202287489	0.6465383943992594	0.5252672042647077	0.5066151622000898	0.0	tissueagent	3				
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	228635.0	0.0	228635.0	225679.0	2956.0	1.0	1.0	0.9870710958514664	0.9870710958514664	0.8734314518774465	0.33073318563298	0.3105690187065285	0.3198197168995995	0.0	gptcelltype	1	Developing human heart	"[""cardiomyocyte"", ""endothelial"", ""fibroblast"", ""smooth muscle"", ""pericyte"", ""epicardial/mesothelium"", ""neural cell"", ""immune"", ""Unassigned""]"	[]	
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	228635.0	0.0	228635.0	228635.0	0.0	1.0	1.0	1.0	1.0	0.6092986638091281	0.3149994567780771	0.3061716879016876	0.2396533091631066	0.0	celltypist	1	Developing human heart	"[""cardiomyocyte"", ""endothelial"", ""fibroblast"", ""smooth muscle"", ""pericyte"", ""epicardial/mesothelium"", ""neural cell"", ""immune"", ""Unassigned""]"	[]	
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	228635.0	0.0	228635.0	0.0	228635.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	biomni	1				all_generic_labels
developing_human_heart	Developing human heart	0	primary	680980cc253dd8ae28c24c35f52878c3d6397bb4e77dd82327d3e42eec16c61f	228635.0	0.0	228635.0	228635.0	0.0	1.0	1.0	1.0	1.0	0.9045071839394668	0.4270957636393295	0.4400361212175045	0.4282629404374645	0.0	spatialagent	1				not_flagged
bcl	BCL	1	primary	6153f62a39bdb7858e28187b10fb5b820eddc8a383bf83c12fc90211ec306025	49566.0	344.0	49910.0	49330.0	236.0	1.0	1.0	0.9952386716700964	0.9952386716700964	0.4673970060121857	0.4554356683332428	0.2336728694826249	0.2832027496541339	0.0	tissueagent	1				
bcl	BCL	1	primary	6153f62a39bdb7858e28187b10fb5b820eddc8a383bf83c12fc90211ec306025	49566.0	344.0	49910.0	34839.0	14727.0	1.0	1.0	0.7028810071419925	0.7028810071419925	0.3488076504055199	0.5018863242028522	0.4795008805019933	0.4424124373349221	0.0	tissueagent	2				
bcl	BCL	1	primary	6153f62a39bdb7858e28187b10fb5b820eddc8a383bf83c12fc90211ec306025	49566.0	344.0	49910.0	38225.0	11341.0	1.0	1.0	0.7711939636040834	0.7711939636040834	0.3597829157083484	0.5386530179038523	0.4643330231986095	0.4375551868028842	0.0	tissueagent	3				
