cell_type	mean_tstatistic
Low quality	6.7887500767298725
Lateral plate mesoderm	5.616975545107211
Erythroid	2.166887311165583
Allantois	1.868409405405111
Gut tube	7.935249632817338
Endothelium	5.975430472656354
Haematoendothelial progenitors	6.0825319040797545
Intermediate mesoderm	6.098128029756433
Mixed mesenchymal mesoderm	4.211480063099666
Spinal cord	9.812122907014396
Neural crest	5.1560584770500375
Splanchnic mesoderm	6.7900780900926785
Forebrain/Midbrain/Hindbrain	11.147704385542372
Cranial mesoderm	3.8502742068830873
Surface ectoderm	6.827510935602469
Definitive endoderm	1.7991054852941346
NMP	2.3285976511745012
Anterior somitic tissues	1.43242592699738
Presomitic mesoderm	2.4760899301338326
Dermomyotome	3.9609202350198043
Cardiomyocytes	4.43172953754625
Sclerotome	1.3739200292783198
