gene	cell_type	t_statistic
Abcc4	Low quality	2.9968991426781817
Acp5	Low quality	11.524969097718223
Acvr1	Low quality	4.939305048465647
Acvr2a	Low quality	4.501572060250515
Adora2b	Low quality	1.408196829834643
Afp	Low quality	4.121227401184414
Ahnak	Low quality	7.3447596120744345
Akr1c19	Low quality	5.069685204454025
Alas2	Low quality	14.30509041565848
Aldh1a2	Low quality	14.86084527971888
Aldh2	Low quality	2.494426446951367
Aldob	Low quality	0.7589733947081049
Alx1	Low quality	5.335200539565997
Apln	Low quality	7.496840547942633
Aplnr	Low quality	4.516910271531288
Apoa4	Low quality	0.8439963930870914
Apob	Low quality	0.41312617244280614
Aqp3	Low quality	5.565632992731048
Aqp8	Low quality	2.1635688681424163
Arhgdib	Low quality	5.04873625317966
Arl4d	Low quality	6.028200088058878
Ash2l	Low quality	5.6912236541191294
Ass1	Low quality	2.005211744994294
Atp1b1	Low quality	5.618901811954746
Axin2	Low quality	9.622882133656066
Bak1	Low quality	3.357202888338809
Bambi	Low quality	11.90872476650467
Bcl2	Low quality	5.174013209966318
Bid	Low quality	1.2098843085770863
Bin2	Low quality	11.249993357402039
Bmi1	Low quality	2.6253904543655593
Bmp2	Low quality	4.292057507470694
Bmp4	Low quality	11.697178635737359
Bmp5	Low quality	4.3638386655675445
Bmp7	Low quality	9.547679501023499
Bmper	Low quality	0.848253516346011
Car7	Low quality	2.080898027124048
Cavin3	Low quality	8.997580928582225
Cbfa2t3	Low quality	9.421429833415443
Ccng1	Low quality	1.8025263697359104
Cd34	Low quality	15.578423456922867
Cd8a	Low quality	5.6067547146749535
Cdh1	Low quality	15.479771286242695
Cdh2	Low quality	6.786026527799177
Cdh5	Low quality	17.181392160250834
Cdx1	Low quality	5.081921067616997
Cdx2	Low quality	20.29331809495473
Cdx4	Low quality	5.758144968440159
Cer1	Low quality	4.372345865224599
Cers4	Low quality	4.34363054909964
Chrd	Low quality	4.059701439078578
Cldn4	Low quality	11.526272537589808
Cldn5	Low quality	8.958606183501962
Clic6	Low quality	-0.22978580186876443
Cntfr	Low quality	8.219254455099758
Col1a1	Low quality	15.860620488013296
Col1a2	Low quality	7.840064269794056
Col26a1	Low quality	8.185013295800058
Col4a1	Low quality	12.603470377104424
Coro1a	Low quality	5.987021684205304
Cpm	Low quality	14.656620110982967
Cpn1	Low quality	5.068573640250501
Cxcl12	Low quality	7.1074601887879245
