source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
3,8,CALM1,AQP1,2.194146,0.0,3.1256964,0.430592,0.6457152548819376,0.020906057,0.94581586,0.010915042401938736,1.8765542761202938e-07
3,0,CALM1,AQP1,2.18937,0.0,3.0923254,0.42651138,0.7610148341087655,0.020682855,0.9455402,0.011594010238475406,7.505494414739994e-07
3,6,CALM1,AQP1,2.1870177,0.0,3.0758898,0.42450166,0.5594951181428367,0.020572927,0.9454028,0.011970690277542448,1.688573638124733e-06
4,8,CALM1,AQP1,2.1019084,0.0,2.9606483,0.36188683,0.43559989829151635,0.01980214,0.9444089,0.03231414559687232,6.752343290197746e-06
4,0,CALM1,AQP1,2.0971324,0.0,2.9290395,0.3578062,0.5508994775183442,0.019590724,0.9441264,0.03283238052490007,9.189803654384436e-06
4,6,CALM1,AQP1,2.0947802,0.0,2.9134717,0.3557965,0.34937976155241546,0.0194866,0.9439857,0.10036158467776983,1.2001853242068658e-05
1,8,CALM1,AQP1,2.0238645,0.033,2.8209975,0.303754,0.29573769047316456,0.018868092,0.9431268,0.17831241485528102,3.673442636155637e-05
3,2,CALM1,AQP1,2.1303396,0.0,2.6798701,0.37607646,0.6237755348291303,0.01792417,0.9417346,0.024636210202169655,3.673442636155637e-05
1,0,CALM1,AQP1,2.0190885,0.044,2.7908795,0.29967338,0.41103726969999244,0.01866665,0.94283825,0.19120016294317432,4.2165558263312396e-05
1,6,CALM1,AQP1,2.0167363,0.046,2.7760463,0.29766366,0.20951755373406367,0.018567437,0.9426945,0.19814239963640906,4.7970411253526205e-05
4,2,CALM1,AQP1,2.0381024,0.001,2.5383632,0.3073713,0.41366017823870904,0.016977707,0.94022834,0.07040102799076133,9.90594528924202e-05
3,5,CALM1,AQP1,2.10819,0.0,2.5251071,0.3571521,0.39396911942674095,0.016889045,0.94008106,0.05590052724609255,0.00010785017146224996
1,2,CALM1,AQP1,1.9600582,0.116,2.418631,0.24923846,0.27379797042035725,0.016176885,0.9388561,0.4111196638541281,0.000157392760617187
3,1,CALM1,GRM5,2.0910182,0.0,2.4051228,0.8275758,1.001992461900136,0.042209838,0.93869513,0.0003181939175973937,0.00016841832527543282
4,5,CALM1,AQP1,2.0159528,0.0,2.3917723,0.28844693,0.1838537628363197,0.015997242,0.9385348,0.4342395864244174,0.00017981598496958517
1,3,GNAS,ADCY1,1.9521885,0.0,3.005222,0.81391674,0.9236815291735897,0.0404719,0.94479984,0.00044699313676835437,0.0001915856312961173
4,1,CALM1,GRM5,1.9987808,0.0,2.2781236,0.7588706,0.7918771053097147,0.039981004,0.93711555,0.0004939378657443373,0.00021624045023221412
1,5,CALM1,AQP1,1.9379088,0.104,2.2789547,0.23031412,0.04399155501796792,0.015242668,0.9371263,0.5521311998978787,0.00025600986829103973
3,7,CALM1,AQP1,2.06617,0.0,2.231503,0.32125026,0.8517383367716038,0.01492529,0.9365035,0.05575450527191711,0.00025600986829103973
2,8,CALM1,AQP1,1.9212666,0.005,2.6374106,0.22733182,0.2882912636654973,0.017640183,0.9412949,0.2523556021429552,0.00032971751056644897
1,1,CALM1,GRM5,1.9207368,0.016,2.170667,0.7007378,0.6520148974913629,0.03809514,0.93567675,0.02215803984195415,0.0003617968327379259
2,0,CALM1,AQP1,1.9164906,0.015,2.6092527,0.2232512,0.40359084289232516,0.017451849,0.94099766,0.26779314854680963,0.00039535851498470186
2,6,CALM1,AQP1,1.9141383,0.007,2.5953846,0.22124149,0.2020711269263964,0.017359093,0.94084954,0.28634078183248457,0.00041269495117959604
5,8,CALM1,AQP1,1.9136939,0.0,2.6238601,0.22169098,0.23061037575778598,0.017549552,0.94115245,0.26824057992106937,0.00043040163955079217
4,7,CALM1,AQP1,1.9739325,0.0,2.1136715,0.2525451,0.6416229801811826,0.01413718,0.9348714,0.14039387371970055,0.00050492874672806
5,0,CALM1,AQP1,1.9089179,0.0,2.595847,0.21761036,0.34590995498461385,0.017362185,0.9408545,0.28538272066651643,0.00050492874672806
1,4,GNAS,ADCY1,1.9075044,0.0,2.750535,0.75894153,0.7866488064825662,0.03704198,0.9424446,0.0010573619908292023,0.0005444109948828103
5,6,CALM1,AQP1,1.9065657,0.0,2.58205,0.21560065,0.14439023901868508,0.017269906,0.940706,0.2944187399334282,0.0005647063471470235
3,4,CALM1,AQP1,2.0396037,0.0,2.0458803,0.29855233,0.10211519538534786,0.013683762,0.93387187,0.5964559637732799,0.0006278084745692286
1,7,CALM1,AQP1,1.8958884,0.142,2.0139718,0.19441226,0.5017607723628308,0.013470343,0.93338484,0.9019503270447937,0.0007403584363163639
3,3,CALM1,GRM5,2.031941,0.0,1.9923387,0.7251842,0.9708939690747026,0.034965485,0.9330483,0.00180994915771156,0.0008123114932355449
4,4,CALM1,AQP1,1.9473665,0.0,1.9378505,0.22984716,-0.10800016120507339,0.01296121,0.93217695,1.0,0.0008621213410690953
