source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
3,6,CALM1,AQP1,2.1748765,0.0,3.4815779,0.6584171,0.8598400309590901,0.049413927,0.9488988,0.0002594084250739784,1.6961446850870687e-07
4,6,CALM1,AQP1,2.1676044,0.0,3.4661977,0.65236557,0.8708002615837596,0.04919564,0.9487913,0.0001987188685371878,6.783957726267943e-07
1,6,CALM1,AQP1,2.1132898,0.0,3.3513215,0.60717535,0.849548282766373,0.0475652,0.94796634,0.0003528247181603812,1.5262506524058891e-06
5,6,CALM1,AQP1,1.9914291,0.0,3.0935833,0.50578517,0.6929621264335695,0.043907132,0.94595695,0.003717114604255311,1.3728711197861489e-05
2,6,CALM1,AQP1,1.9575769,0.0,3.0219853,0.4776198,0.7470364320818086,0.042890944,0.94535524,0.004966749756821209,4.336168658651704e-05
3,6,CALM1,GRM3,2.054525,0.0,2.689124,0.46048933,0.5310333947424828,0.03001287,0.94226146,0.009288015356063672,8.193559834798513e-05
4,6,CALM1,GRM3,2.047253,0.0,2.6772447,0.45443785,0.5419936253671522,0.029880287,0.94214094,0.009288015356063672,8.954536402311394e-05
3,4,GNAS,ADCY1,1.9135203,0.0,2.782093,0.629532,0.6473809585753522,0.03413763,0.94317913,0.008278682915400265,0.00011439699294665329
1,6,CALM1,GRM3,1.9929383,0.0,2.5885158,0.40924758,0.5207416465497656,0.028889997,0.94121546,0.012407484735855864,0.0001233546693802759
3,3,GNAS,ADCY1,1.9042412,0.0,2.7291775,0.61842704,0.599664773425894,0.03348833,0.94266236,0.009288015356063672,0.00013264910667158043
4,4,GNAS,ADCY1,1.9038993,0.0,2.763318,0.6221509,0.6414774456047755,0.033907253,0.9429974,0.008885765233885996,0.00014228018014281695
4,3,GNAS,ADCY1,1.8946202,0.0,2.7107596,0.61104596,0.5937612604553173,0.033262335,0.9424791,0.009288015356063672,0.00018416912755788405
5,6,CALM1,GRM3,1.8710774,0.0,2.3894422,0.30785745,0.36415549021696214,0.02666817,0.93896216,0.024706043050140104,0.000342085968959407
